,PGA [m/s2],Sa [m/s2],East - local,West - local,North - local,South - local,East - macro,West - macro,North - macro,South - macro,Global
000361XA_Sa_1.2g,15.215024984957571,11.772,0.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,2
000361XA_Sa_1.3g,16.482943733704037,12.753000000000002,0.0,2.0,2.0,2.0,0.0,3.0,0.0,0.0,2
000361XA_Sa_1.4g,17.7508624824505,13.734,2.0,3.0,2.0,3.0,0.0,4.0,0.0,0.0,2
000361XA_Sa_1.5g,19.018781231196964,14.715,2.0,3.0,3.0,3.0,0.0,4.0,0.0,0.0,2
000365XA_Sa_0.1g,0.36342941530847767,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000365XA_Sa_0.2g,0.7268588306169553,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000365XA_Sa_0.3g,1.0902882459254328,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000365XA_Sa_0.4g,1.4537176612339107,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000365XA_Sa_0.5g,1.8171470765423883,4.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000365XA_Sa_0.6g,2.1805764918508657,5.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000365XA_Sa_0.7g,2.5440059071593435,6.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
